Nome,name,Cargo,Sexo,Partido,ideologia,ColigaCAo,PartidoCol1,PartidoCol2,PartidoCol3,PartidoCol4,PartidoCol5,PartidoCol6,PartidoCol7,SituaCAo,GraudeInstruCAo,OcupaCAo,OcupaCAoComplementar,EstadoCivil,DatadeNascimento,Cadeiras_por_estado,NUmerodoCandidato,migrant1,n_mudan1,senti11,Vereador,DepEstadual,CargExecEletivoSubNacional,CargExecEletivoNacional,CargExecNEletivoSubNacional,CargExexNEletivoNacional,PresidenteEstatal,Senado,Suplente,Idade,Escandalo,Identidade_religiosa,Migrante,n_mudanC,sentid1,GrupoEtario,MacroregiOes,Cargo_ComissAo,coalgov,UF,pobreza,votos02,votos06,aumevot0206,Eleito,ReeleiCAo,mesa,lideranC,dimivot0206,escandalo2,reeleito,mensalao,sangues,temsuper,votes,list.uf,list.coli,poverty.state,support,pork,despesa
ADALBERTO NADUR,NADUR,Deputado Federal,Masculino,PTC,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Industrial,Outros,Casado(a),5-Jul-52,70,3651,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,54,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,pequenos partidos,SP,0.14,NA,83769,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,6091.04
ADALBERTO RIBEIRO DA SILVA,ADALBERTO RIBEIRO,Deputado Federal,Masculino,PPS,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Contador,Outros,Solteiro(a),5-Aug-71,70,2300,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,35,NAo,NA,NAo,NA,NA,31 a 40 anos,Sudeste,NA,"indepentes (pps, pdt, pv)",SP,0.14,NA,147212,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,669
ADALBERTO TEIXEIRA ROCHA JUNIOR,CICINHO DA CAIXA,Deputado Federal,Masculino,PRP,2,PDT / PHS / PTC / PSB / PRP,PDT,PHS,PTC,PSB,PRP,NA,NA,Deferido,Superior incompleto,BancArio e EconomiArio,Outros,Casado(a),5-Dec-64,9,4411,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,41,NAo,NA,NAo,NA,NA,41 a 50 anos,Nordeste,NA,pequenos partidos,AL,0.563,NA,66770,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
ADALCIMIR DA SILVA PEREIRA,SARGENTO ADALCIMIR,Deputado Federal,Masculino,PRP,2,PTN / PRTB / PRP / PT do B,PTN,PRTB,PRP,PT do B,NA,NA,NA,Deferido,Ensino Fundamental completo,Policial Militar,Militar da ativa,Casado(a),3-Jun-55,53,4478,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,51,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,pequenos partidos,MG,0.25,NA,67784,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,500
ADALVA ALVES MONTEIRO,ADALVA,Deputado Federal,Feminino,PHS,1,PRTB / PHS / PRP,PRTB,PHS,PRP,NA,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Solteiro(a),22-Mar-42,18,3112,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,64,NAo,NA,NAo,NA,NA,51 a 65 anos,Nordeste,NA,pequenos partidos,MA,0.54,NA,134224,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,11746.46
ADAO ALVES DO AMARAL,BIM BIM,Deputado Federal,Masculino,PMDB,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino Fundamental completo,Vereador,Outros,Separado(a) judicialmente,25-Feb-41,30,1517,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,65,NAo,NA,NAo,NA,NA,51 a 65 anos,Sul,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",PR,0.18,NA,1251,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,6632.99
ADAO KLEPA,DR. ADAO KLEPA,Deputado Federal,Masculino,PTN,1,PDT / PTN / PAN / PTC / PRP / PRONA,PDT,PTN,PAN,PTC,PRP,PRONA,NA,Deferido,Superior completo,Advogado,Outros,Casado(a),5-Feb-47,8,1900,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,59,NAo,NA,NAo,NA,NA,51 a 65 anos,Norte,NA,pequenos partidos,TO,0.37,NA,61792,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
ADAO MARTINS DE SOUZA,ADAO MARTINS DE SOUZA,Deputado Federal,Masculino,PMN,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,MecAnico de ManutenCAo,Outros,Casado(a),16-Nov-73,53,3399,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,32,NAo,NA,NAo,NA,NA,31 a 40 anos,Sudeste,NA,pequenos partidos,MG,0.25,NA,118076,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,150
ADAO MATOZO,MATOZO,Deputado Federal,Masculino,PSC,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Comerciante,Outros,Casado(a),22-Mar-69,30,2001,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,37,NAo,NA,NAo,NA,NA,31 a 40 anos,Sul,NA,pequenos partidos,PR,0.18,NA,62091,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
ADAO MOACIR GEGLER,MOACIR GEGLER,Deputado Federal,Masculino,PTC,1,PSC / PAN / PRTB / PHS / PTC / PT do B,PSC,PAN,PRTB,PHS,PTC,PT do B,NA,Deferido,Ensino Fundamental completo,EmpresArio,Outros,Divorciado(a),11-Nov-58,31,3600,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,47,NAo,NA,NAo,NA,NA,41 a 50 anos,Sul,NA,pequenos partidos,RS,0.18,NA,157909,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,574.53
