Nome,name,Cargo,Sexo,Partido,ideologia,ColigaCAo,PartidoCol1,PartidoCol2,PartidoCol3,PartidoCol4,PartidoCol5,PartidoCol6,PartidoCol7,SituaCAo,GraudeInstruCAo,OcupaCAo,OcupaCAoComplementar,EstadoCivil,DatadeNascimento,Cadeiras_por_estado,NUmerodoCandidato,migrant1,n_mudan1,senti11,Vereador,DepEstadual,CargExecEletivoSubNacional,CargExecEletivoNacional,CargExecNEletivoSubNacional,CargExexNEletivoNacional,PresidenteEstatal,Senado,Suplente,Idade,Escandalo,Identidade_religiosa,Migrante,n_mudanC,sentid1,GrupoEtario,MacroregiOes,Cargo_ComissAo,coalgov,UF,pobreza,votos02,votos06,aumevot0206,Eleito,ReeleiCAo,mesa,lideranC,dimivot0206,escandalo2,reeleito,mensalao,sangues,temsuper,votes,list.uf,list.coli,poverty.state,support,pork,despesa
JOSE MAURICIO DE CASTILHO,CABO CASTILHO,Deputado Federal,Masculino,PT do B,2,PTN / PRTB / PRP / PT do B,PTN,PRTB,PRP,PT do B,NA,NA,NA,Deferido,Ensino Fundamental completo,Policial Militar,Militar da ativa,Separado(a) judicialmente,22-Aug-55,53,7090,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,51,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,pequenos partidos,MG,0.25,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,630.35
JOSE MAURICIO DE OLIVEIRA,MAURICIO MAJOR,Deputado Federal,Masculino,PRONA,2,PSDC / PTC / PRONA,PSDC,PTC,PRONA,NA,NA,NA,NA,Deferido,Superior completo,Policial Militar,Militar da ativa,Casado(a),21-Aug-63,53,5690,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,43,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,MG,0.25,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
JOSE MAURICIO FERREIRA,JOSE MAURICIO,Deputado Federal,Masculino,PMN,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Servidor PUblico Municipal,Outros,Divorciado(a),10-Dec-56,70,3391,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,49,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
JOSE MAURICIO LINHARES BARRETO,JOSE MAURICIO,Deputado Federal,Masculino,PDT,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Separado(a) judicialmente,22-Sep-35,46,1212,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,71,NAo,NA,NAo,NA,NA,65 anos ou mais,Sudeste,NA,"indepentes (pps, pdt, pv)",RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,9599.99
JOSE MAURICIO RABELO,MAURICIO RABELO,Deputado Federal,Masculino,PL,2,PP / PTB / PSC / PL / PSB / PV / PSDB / PT do B,PP,PTB,PSC,PL,PSB,PV,PSDB,Deferido,Superior completo,Deputado,Outros,Casado(a),27-Apr-60,8,2222,Sim,uma mudanCa,governo/governo,NAo,NAo,NAo,NAo,NAo,NAo,SI,NAo,NAo,46,Sanguesuga,NA,Sim,uma mudanCa,governo/governo,41 a 50 anos,Norte,SI,"oposiCAo (pfl, psdb)",TO,0.37,NA,NA,NA,NAo,Nao,NAo Participou,NAo Participou,NA,Sim,88,2,Sim,1,35628,5,5,43.09,NA,0.44,30275
JOSE MELO DA SILVA SOBRINHO,JOSE MELO,Deputado Federal,Masculino,PAN,2,PTN / PSC / PFL / PAN / PHS / PTC,PTN,PSC,PFL,PAN,PHS,PTC,NA,Deferido,Ensino MEdio completo,Servidor PUblico Estadual,Outros,Casado(a),20-Sep-60,8,2626,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,46,NAo,NA,NAo,NA,NA,41 a 50 anos,Norte,NA,pequenos partidos,AM,0.418,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,7017.8
JOSE MENDONCA BEZERRA,ZE MENDONCA,Deputado Federal,Masculino,PFL,2,PMDB / PPS / PFL / PSDB,PMDB,PPS,PFL,PSDB,NA,NA,NA,Deferido,Superior completo,Deputado,Outros,Casado(a),18-Jan-36,25,2555,NAo,NA,NA,NAo,Sim,NAo,NAo,NAo,NAo,SI,NAo,NAo,70,NAo,NA,NAo,NA,NA,65 anos ou mais,Nordeste,SI,"oposiCAo (pfl, psdb)",PE,0.49,94578,96561,1,Sim,Sim,NAo Participou,NAo Participou,NA,Nao,Sim,NAo,NAo,1,NA,NA,NA,NA,NA,NA,520714.28
JOSE MENTOR GUILHERME DE MELLO NETTO,JOSE MENTOR,Deputado Federal,Masculino,PT,0,PT / PC do B,PT,PC do B,NA,NA,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Casado(a),30-Sep-48,70,1332,NAo,NA,NA,Sim,NAo,NAo,NAo,NAo,NAo,SI,NAo,NAo,57,MensalAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,1_ Vice-Presidente,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",SP,0.14,182956,104960,0,Sim,Sim,NAo Participou,NAo Participou,0,Sim,Sim,Sim,2,1,182956,15,5,17.77,0.54,0.99,827650
JOSE MESSIAS CARDOSO FERREIRA,MESSIAS CARDOSO,Deputado Federal,Masculino,PRTB,2,PSL / PRTB / PHS,PSL,PRTB,PHS,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Representante Comercial,Outros,Casado(a),1-Jan-68,8,2815,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,38,NAo,NA,NAo,NA,NA,31 a 40 anos,Norte,NA,pequenos partidos,TO,0.37,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
JOSE MESSIAS RIBEIRO,MESSIAS RIBEIRO,Deputado Federal,Masculino,PFL,2,PSDB / PFL / PTB,PSDB,PFL,PTB,NA,NA,NA,NA,Deferido,Superior completo,Policial Civil,Outros,Casado(a),30-Dec-56,8,2525,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,49,NAo,NA,NAo,NA,NA,41 a 50 anos,Norte,NA,"oposiCAo (pfl, psdb)",AC,0.416,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
JOSE MIGUEL DOS SANTOS,JOSE MIGUEL DOS SANTOS,Deputado Federal,Masculino,PSC,2,PSC / PSB / PHS,PSC,PSB,PHS,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Membro das ForCas Armadas,Outros,Solteiro(a),29-Sep-61,53,2002,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,44,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,MG,0.25,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,2000
JOSE MIGUEL MARTINI,MIGUEL MARTINI,Deputado Federal,Masculino,PHS,1,PSC / PSB / PHS,PSC,PSB,PHS,NA,NA,NA,NA,Deferido,Superior completo,Deputado,Outros,Casado(a),28-Mar-55,53,3133,NAo,NA,NA,NAo,Sim,NAo,NAo,Sim,NAo,NAo,SI,NA,51,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,pequenos partidos,MG,0.25,NA,900,NA,Sim,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,374126.84
JOSE MILITAO COSTA,JOSE MILITAO,Deputado Federal,Masculino,PTB,2,PP / PTB / PL / PFL / PAN / PSDB,PP,PTB,PL,PFL,PAN,PSDB,NA,Deferido,Superior completo,Servidor PUblico Estadual,Outros,Divorciado(a),13-May-42,53,1456,NAo,NA,NA,NAo,Sim,NAo,NAo,NAo,NAo,SI,NAo,NAo,64,Sanguesuga,NA,NAo,NA,NA,51 a 65 anos,Sudeste,Presidente,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",MG,0.25,58954,30161,0,NAo,Sim,NAo Participou,NAo Participou,0,Sim,NAo,2,Sim,1,58954,52,9,19.8,0.68,0.92,200624.63
JOSE MILTON DE CARVALHO ROCHA,JOSE MILTON,Deputado Federal,Masculino,PSDB,1,PP / PTB / PL / PFL / PAN / PSDB,PP,PTB,PL,PFL,PAN,PSDB,NA,Deferido,Superior completo,Deputado,Outros,Casado(a),4-Nov-57,53,4580,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,48,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,"oposiCAo (pfl, psdb)",MG,0.25,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,172000.54
JOSE MILTON FALEIROS,JOSE MILTON FALEIROS,Deputado Federal,Masculino,PL,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Economista,Outros,Casado(a),3-Sep-53,70,2253,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,53,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,"oposiCAo (pfl, psdb)",SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,752.34
JOSE MOACIR FERREIRA LEAO,MOACIR LEAO,Deputado Federal,Masculino,PDT,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Servidor PUblico Federal,Outros,Casado(a),28-Apr-60,31,1211,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,46,NAo,NA,NAo,NA,NA,41 a 50 anos,Sul,NA,"indepentes (pps, pdt, pv)",RS,0.18,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,68000.23
JOSE MOREIRA NUNES,CORONEL NUNES,Deputado Federal,Masculino,PV,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Casado(a),30-May-52,8,4300,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,54,NAo,NA,NAo,NA,NA,51 a 65 anos,Norte,NA,"indepentes (pps, pdt, pv)",AM,0.418,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,734
JOSE MUCIO MONTEIRO FILHO,JOSE MUCIO,Deputado Federal,Masculino,PTB,2,PRB / PT / PTB / PMN / PC do B,PRB,PT,PTB,PMN,PC do B,NA,NA,Deferido,Superior completo,Deputado,Outros,Casado(a),25-Sep-48,25,1490,Sim,uma mudanCa,oposiCAo/governo,NAo,NAo,Sim,NAo,Sim,NAo,SI,NAo,NAo,58,NAo,NA,Sim,uma mudanCa,oposiCAo/governo,51 a 65 anos,Nordeste,SI,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",PE,0.49,78610,120398,1,Sim,Sim,NAo Participou,Lider partidArio,NA,Nao,Sim,NAo,NAo,1,NA,NA,NA,NA,NA,NA,1437420.37
JOSE NATAL PUPPO DOS SANTOS,NATAL,Deputado Federal,Masculino,PSDB,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior incompleto,SecretArio e DatilOgrafo,Outros,Casado(a),24-Dec-53,46,4553,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,52,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,"oposiCAo (pfl, psdb)",RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
JOSE NAZARENO CARDEAL FONTELES,NAZARENO FONTELES,Deputado Federal,Masculino,PT,0,PT / PSB / PTB / PC do B / PL,PT,PSB,PTB,PC do B,PL,NA,NA,Deferido,Superior completo,MEdico,Outros,Casado(a),4-May-54,10,1311,NAo,NA,NA,NAo,Sim,NAo,NAo,NAo,NAo,SI,NAo,NAo,52,NAo,NA,NAo,NA,NA,51 a 65 anos,Nordeste,SI,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",PI,0.51,42983,64212,1,Sim,Sim,NAo Participou,NAo Participou,NA,Nao,Sim,NAo,NAo,1,42983,11,NA,57.05,0.68,0.97,156344.22
JOSE NELSON AGUIAR FERNANDES,NELSON FERNANDES,Deputado Federal,Masculino,PT,0,PT / PC do B,PT,PC do B,NA,NA,NA,NA,NA,Indeferido com recurso,Superior completo,EmpresArio,Outros,Casado(a),18-Mar-51,70,1392,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,55,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
JOSE NILDO CORREIA DO NASCIMENTO,JOSE NILDO,Deputado Federal,Masculino,PP,2,PP / PTB / PTN / PL / PPS / PAN / PRTB / PHS / PMN / PV / PRP / P,PP,PTB,PTN,PL,PPS,PAN,PRTB,Deferido,Superior incompleto,Outros,Outros,Casado(a),6-Jul-63,17,1155,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,43,NAo,NA,NAo,NA,NA,41 a 50 anos,Centro-oeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",GO,0.222,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,4000
JOSE NILTON LOPES,NILTON LOPES,Deputado Federal,Masculino,PSL,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Policial Militar,Militar da ativa,Casado(a),22-Nov-61,8,1733,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,44,NAo,NA,NAo,NA,NA,41 a 50 anos,Centro-oeste,NA,pequenos partidos,DF,0.1838,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,235
JOSE NILTON PINHEIRO CALVET FILHO,CALVET FILHO,Deputado Federal,Masculino,PSDC,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior incompleto,Professor e Instrutor de FormaCAo Profissional,Servidor Publico Civil,Solteiro(a),13-Jan-84,18,2712,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,22,NAo,NA,NAo,NA,NA,21 a 30 anos,Nordeste,NA,pequenos partidos,MA,0.54,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
JOSE NITO DOS SANTOS DUARTE,NIL,Deputado Federal,Masculino,PL,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino Fundamental completo,Outros,Outros,Solteiro(a),2-Aug-59,46,2256,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,47,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,"oposiCAo (pfl, psdb)",RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
JOSE NOBRE GUIMARAES,GUIMARAES,Deputado Federal,Masculino,PT,0,PSB / PT / PMDB / PP,PSB,PT,PMDB,PP,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Solteiro(a),13-Feb-59,22,1322,NAo,NA,NA,NAo,Sim,NAo,NAo,NAo,NAo,NAo,SI,NA,47,NAo,NA,NAo,NA,NA,41 a 50 anos,Nordeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",CE,0.483,NA,486,NA,Sim,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,457003.75
JOSE NOGUEIRA TAPETY JUNIOR,TAPETY JUNIOR,Deputado Federal,Masculino,PDT,0,PDT / PRTB,PDT,PRTB,NA,NA,NA,NA,NA,Deferido,Superior completo,MEdico,Outros,Casado(a),14-Jan-33,10,1212,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,73,NAo,NA,NAo,NA,NA,65 anos ou mais,Nordeste,NA,"indepentes (pps, pdt, pv)",PI,0.51,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,19091.21
JOSE NOVAES FARACO,FARACO,Deputado Federal,Masculino,PT do B,2,PTN / PMN / PTC / PRONA / PT do B,PTN,PMN,PTC,PRONA,PT do B,NA,NA,Deferido,Superior incompleto,Comerciante,Outros,Separado(a) judicialmente,29-Nov-53,30,7090,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,52,NAo,NA,NAo,NA,NA,51 a 65 anos,Sul,NA,pequenos partidos,PR,0.18,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
JOSE NUNES LINHARES,DR. LINHARES,Deputado Federal,Masculino,PRTB,2,PRTB / PHS / PRP,PRTB,PHS,PRP,NA,NA,NA,NA,Deferido,Superior completo,EmpresArio,Outros,ViUvo(a),20-Jan-51,18,2801,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,55,NAo,NA,NAo,NA,NA,51 a 65 anos,Nordeste,NA,pequenos partidos,MA,0.54,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
JOSE OMAR FELICIO DA SILVA,JOSE OMAR IAIA,Deputado Federal,Masculino,PSDC,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Indeferido com recurso,Superior completo,Outros,Outros,Divorciado(a),8-Jul-54,70,2721,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,52,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,pequenos partidos,SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
JOSE ONIX GOMES DA SILVA,JOSE «NIX,Deputado Federal,Masculino,PRTB,2,PRB / PTN / PRTB,PRB,PTN,PRTB,NA,NA,NA,NA,Deferido,Ensino MEdio completo,"Estudante, Bolsista, EstagiArio e Assemelhados",Outros,Divorciado(a),18-Sep-77,46,2800,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,29,NAo,NA,NAo,NA,NA,21 a 30 anos,Sudeste,NA,pequenos partidos,RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
JOSE ORLANDO SAMPAIO,ZE ORLANDO,Deputado Federal,Masculino,PSB,0,PSB / PT / PMDB / PP,PSB,PT,PMDB,PP,NA,NA,NA,Deferido,Superior incompleto,EmpresArio,Outros,Casado(a),4-Oct-55,22,4041,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,50,NAo,NA,NAo,NA,NA,41 a 50 anos,Nordeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",CE,0.483,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
JOSE OSEAS DA COSTA,OSEAS COSTA,Deputado Federal,Masculino,PSC,2,PSC / PAN / PRTB / PHS / PTC / PT do B,PSC,PAN,PRTB,PHS,PTC,PT do B,NA,Deferido,Superior completo,MUsico,Outros,Casado(a),1-Apr-53,31,2000,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,53,NAo,NA,NAo,NA,NA,51 a 65 anos,Sul,NA,pequenos partidos,RS,0.18,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,2049.45
JOSE OSMANDO FIGUEIREDO,OSMANDO FIGUEIREDO,Deputado Federal,Masculino,PDT,0,PDT / PPS,PDT,PPS,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Outros,Outros,Casado(a),12-Mar-59,17,1214,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,47,NAo,NA,NAo,NA,NA,41 a 50 anos,Norte,NA,"indepentes (pps, pdt, pv)",PA,0.43,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,44981.55
JOSE OSVALDO ALVES,OSVALDO ALVES,Deputado Federal,Masculino,PMN,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Comerciante,Outros,Casado(a),25-Feb-56,70,3383,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,50,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,870
JOSE OTAVIO FRANCO DORNELLES,JOSE OTAVIO,Deputado Federal,Masculino,PDT,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior incompleto,Servidor PUblico Federal,Militar da ativa,Casado(a),26-Jul-60,31,1288,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,46,NAo,NA,NAo,NA,NA,41 a 50 anos,Sul,NA,"indepentes (pps, pdt, pv)",RS,0.18,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,890
JOSE OTAVIO GERMANO,JOSE OTAVIO GERMANO,Deputado Federal,Masculino,PP,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Deputado,Outros,Casado(a),21-Apr-62,31,1112,NAo,NA,NA,NAo,NAo,NAo,NAo,NAo,NAo,SI,NAo,NAo,44,NAo,NA,NAo,NA,NA,41 a 50 anos,Sul,SI,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",RS,0.18,176571,195822,1,Sim,Sim,NAo Participou,NAo Participou,NA,Nao,Sim,NAo,NAo,1,NA,NA,NA,NA,NA,NA,595634.49
JOSE PAIXAO DE NOVAES,PAIXAO,Deputado Federal,Masculino,PSB,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,TEcnico de LaboratOrio e Raios X,Outros,Casado(a),1-Apr-56,70,4024,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,50,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,8512.19
JOSE PAIXAO DE OLIVEIRA CRUZ,JOSE PAIXAO,Deputado Federal,Masculino,PSC,2,PSC / PTC,PSC,PTC,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Aposentado (Exceto Servidor PUblico),Outros,Casado(a),17-Apr-52,46,2064,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,54,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,pequenos partidos,RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
JOSE PAULO ANTUNES FERNANDES,PAULINHO DE JONAS,Deputado Federal,Masculino,PT do B,2,PSL / PT do B,PSL,PT do B,NA,NA,NA,NA,NA,Indeferido com recurso,Superior incompleto,EmpresArio,Outros,Casado(a),5-Sep-52,46,7096,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,54,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,pequenos partidos,RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
JOSE PAULO CALDEIRA LIMA,PAULO BARBEIRO,Deputado Federal,Masculino,PHS,1,PSDC / PHS / PRP,PSDC,PHS,PRP,NA,NA,NA,NA,Deferido,Ensino Fundamental incompleto,Comerciante,Outros,Casado(a),18-Feb-61,46,3183,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,45,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,3186.55
JOSE PAULO GARCIA,PAULO GARCIA,Deputado Federal,Masculino,PDT,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior incompleto,Locutor e Comentarista de RAdio e TelevisAo,Outros,Casado(a),24-Feb-55,16,1221,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,51,NAo,NA,NAo,NA,NA,51 a 65 anos,Sul,NA,"indepentes (pps, pdt, pv)",SC,0.12,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,3845
JOSE PAULO SABA MEYRER,SABA,Deputado Federal,Masculino,PTB,2,PTB / PMN,PTB,PMN,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Industrial,Outros,Casado(a),6-Jan-56,31,1406,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,50,NAo,NA,NAo,NA,NA,41 a 50 anos,Sul,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",RS,0.18,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,16530.37
JOSE PAULO TOFFANO,TOFFANO,Deputado Federal,Masculino,PV,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior incompleto,EmpresArio,Outros,Casado(a),5-Jul-70,70,4337,NAo,NA,NA,NAo,NAo,NAo,NAo,Sim,NAo,NAo,SI,NA,36,NAo,NA,NAo,NA,NA,31 a 40 anos,Sudeste,NA,"indepentes (pps, pdt, pv)",SP,0.14,NA,43652,NA,Sim,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,55408.59
JOSE PEDRO CARDOSO SANTOS,PEDRO CARDOSO,Deputado Federal,Masculino,PRONA,2,PRB / PT / PSC / PL / PRONA / PC do B,PRB,PT,PSC,PL,PRONA,PC do B,NA,Deferido,Superior completo,Aposentado (Exceto Servidor PUblico),Outros,Casado(a),29-Aug-50,9,5655,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,56,NAo,NA,NAo,NA,NA,51 a 65 anos,Nordeste,NA,pequenos partidos,AL,0.563,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,700
